file_name,video_length,resolution,bit_depth,frame_rate,base_264_file_size,base_264_avg_rgb,base_264_bit_rate,base_264_psnr,base_264_ssim,base_264_encoding_time,base_265_file_size,base_265_avg_rgb,base_265_bit_rate,base_265_psnr,base_265_ssim,base_265_encoding_time,crf51_264_file_size,crf51_264_avg_rgb,crf51_264_bit_rate,crf51_264_psnr,crf51_264_ssim,crf51_264_encoding_time,crf51_265_file_size,crf51_265_avg_rgb,crf51_265_bit_rate,crf51_265_psnr,crf51_265_ssim,crf51_265_encoding_time,fastdecode_264_file_size,fastdecode_264_avg_rgb,fastdecode_264_bit_rate,fastdecode_264_psnr,fastdecode_264_ssim,fastdecode_264_encoding_time,fastdecode_265_file_size,fastdecode_265_avg_rgb,fastdecode_265_bit_rate,fastdecode_265_psnr,fastdecode_265_ssim,fastdecode_265_encoding_time,grain_264_file_size,grain_264_avg_rgb,grain_264_bit_rate,grain_264_psnr,grain_264_ssim,grain_264_encoding_time,grain_265_file_size,grain_265_avg_rgb,grain_265_bit_rate,grain_265_psnr,grain_265_ssim,grain_265_encoding_time,slow_264_file_size,slow_264_avg_rgb,slow_264_bit_rate,slow_264_psnr,slow_264_ssim,slow_264_encoding_time,slow_265_file_size,slow_265_avg_rgb,slow_265_bit_rate,slow_265_psnr,slow_265_ssim,slow_265_encoding_time,veryfast_264_file_size,veryfast_264_avg_rgb,veryfast_264_bit_rate,veryfast_264_psnr,veryfast_264_ssim,veryfast_264_encoding_time,veryfast_265_file_size,veryfast_265_avg_rgb,veryfast_265_bit_rate,veryfast_265_psnr,veryfast_265_ssim,veryfast_265_encoding_time,veryslow_264_file_size,veryslow_264_avg_rgb,veryslow_264_bit_rate,veryslow_264_psnr,veryslow_264_ssim,veryslow_264_encoding_time,veryslow_265_file_size,veryslow_265_avg_rgb,veryslow_265_bit_rate,veryslow_265_psnr,veryslow_265_ssim,veryslow_265_encoding_time,zeroletency_264_file_size,zeroletency_264_avg_rgb,zeroletency_264_bit_rate,zeroletency_264_psnr,zeroletency_264_ssim,zeroletency_264_encoding_time,zerolatency_265_file_size,zerolatency_265_avg_rgb,zerolatency_265_bit_rate,zerolatency_265_psnr,zerolatency_265_ssim,zerolatency_265_encoding_time,original_size,base_264_ratio,crf51_264_ratio,fastdecode_264_ratio,grain_264_ratio,slow_264_ratio,veryfast_264_ratio,veryslow_264_ratio,zeroletency_264_ratio,base_265_ratio,crf51_265_ratio,fastdecode_265_ratio,grain_265_ratio,slow_265_ratio,veryfast_265_ratio,veryslow_265_ratio,zerolatency_265_ratio
video10.mp4,27.243,"(960, 540)",8,25.0,3478.0107421875,"(144.83748842592593, 129.01155092592592, 113.05803240740741)",1037219,35.724668,0.989806,4.8960120677948,1168.05859375,"(144.8263425925926, 128.98250000000002, 113.04428240740741)",341567,35.252757,0.980584,10.608768463134766,114.19140625,"(145.22266203703705, 127.12577932098766, 111.80164351851852)",25604,28.177173,0.889719,3.608487844467163,99.576171875,"(145.34956404320988, 128.9520235339506, 112.2378800154321)",20238,29.317727,0.894768,7.500711917877197,3935.669921875,"(144.81613425925926, 129.03360918209876, 113.03677276234568)",1174853,35.685861,0.98797,4.5069215297698975,1175.0693359375,"(144.89374035493827, 129.01292824074073, 112.97030478395062)",343673,35.188503,0.978304,8.26405668258667,3788.4423828125,"(144.78462770061728, 129.02521412037038, 113.01269097222223)",1130577,35.82221,0.990676,4.701684474945068,1958.6669921875,"(144.9804764660494, 128.99545717592594, 113.05426118827161)",579330,35.492194,0.982929,12.396236896514893,3301.0244140625,"(144.84115547839505, 129.01665123456792, 113.04296296296296)",983994,35.725646,0.989771,5.971528768539429,1322.693359375,"(144.86243055555556, 128.95171875, 113.07707368827161)",388069,35.46035,0.983562,22.308619022369385,2962.546875,"(144.86434799382715, 129.0264236111111, 113.05253472222222)",882193,35.520163,0.986119,2.9835073947906494,1084.966796875,"(144.88571952160495, 128.9594926697531, 113.0447550154321)",316886,35.152478,0.978727,7.901455402374268,3036.904296875,"(144.86169367283952, 129.01967399691358, 113.05164158950618)",904554,35.736242,0.990121,24.71576690673828,1358.8837890625,"(144.84806905864198, 128.95570601851853, 113.07998070987655)",398956,35.512658,0.984482,214.57431364059448,5101.0390625,"(144.80202160493826, 129.02172839506173, 113.0355401234568)",1526848,35.721426,0.98978,10.718896389007568,1918.15625,"(144.78845293209878, 129.01864583333332, 113.01565972222222)",568943,35.496535,0.98414,12.468549251556396,4047.1826171875,1.1636486823045344,35.44209455067903,1.028333853581749,1.068297259989715,1.2260383776461439,1.3661159765404556,1.3326671575894191,0.7934035728014972,3.464879791855476,40.64408724476787,3.444207497729107,2.0662943896693133,3.059804140167361,3.7302363803615823,2.9783140028329202,2.1099337539303695
video8.mp4,12.679,"(1280, 576)",8,30.0,651.205078125,"(133.2162570529514, 112.39920654296876, 108.08005777994792)",409404,28.891322,0.975133,2.0896430015563965,329.42578125,"(133.20489366319444, 112.40427652994792, 108.02223578559028)",199673,28.815609,0.967031,5.242540121078491,80.685546875,"(135.69578179253472, 111.96746961805556, 109.61516791449654)",40428,26.222107,0.894802,1.6416549682617188,70.2236328125,"(134.69256456163194, 112.20823703342015, 108.03609347873264)",32038,27.326911,0.905886,4.123525381088257,775.4931640625,"(133.20619032118057, 112.42557915581598, 108.05111490885417)",489786,28.897554,0.974137,1.9601893424987795,324.609375,"(133.2035427517361, 112.41042073567709, 108.02741021050348)",196553,28.819494,0.966024,3.887961626052856,668.212890625,"(133.18916015625, 112.4157701280382, 108.04571397569445)",420404,28.892513,0.974004,2.0501604080200195,504.5146484375,"(133.25897894965277, 112.37874891493055, 108.07556559244792)",312908,28.841797,0.967735,6.392409563064575,646.001953125,"(133.21821424696182, 112.38987901475694, 108.08330213758681)",406039,28.893429,0.975318,2.368864059448242,361.98828125,"(133.19708523220487, 112.38025580512154, 108.08804253472222)",220687,28.839866,0.968429,10.27053451538086,547.19140625,"(133.24491373697919, 112.41680230034723, 108.08464898003473)",342136,28.868457,0.971338,1.6082172393798828,306.197265625,"(133.17807345920139, 112.41456434461806, 108.02722303602431)",184883,28.804888,0.965919,4.124701023101807,607.8232421875,"(133.25640869140625, 112.40474989149305, 108.08026529947917)",381483,28.889734,0.97506,11.08599305152893,359.2646484375,"(133.21336669921877, 112.39506700303819, 108.05748697916667)",219150,28.850518,0.969738,77.81460690498352,1180.615234375,"(133.21028917100696, 112.41805555555555, 108.06562771267362)",753704,28.897679,0.975375,4.146320581436157,628.8681640625,"(133.2102281358507, 112.41664632161459, 108.04876844618056)",395355,28.859199,0.970612,6.029423236846924,723.623046875,1.1112060872720948,8.96843455738181,0.9331133792130764,1.0829229082937524,1.1201561285914263,1.3224313076006025,1.1905155917874202,0.6129203027420489,2.1966193542266965,10.304551586032346,2.229211793020457,1.4342954146447215,1.9990234058854632,2.3632577038137943,2.0141782666960233,1.1506752738131658
video14.mp4,10.044,"(1024, 576)",8,29.97,1945.45703125,"(105.95069037543402, 102.88011847601996, 106.8103315565321)",1449233,31.749508,0.977245,2.977935552597046,1023.7353515625,"(105.8521491156684, 102.80479939778645, 106.76993815104166)",695233,31.277508,0.963463,5.552918434143066,264.712890625,"(106.22179158528645, 103.72025214301215, 109.1702660454644)",78314,24.158877,0.752322,1.9940345287323,212.716796875,"(104.07418484157985, 104.50679016113281, 105.71345180935329)",33716,24.677309,0.756679,4.1327598094940186,2205.7060546875,"(105.91926913791232, 102.87961832682291, 106.79175313313802)",1661508,31.655984,0.975486,2.5679619312286377,1053.7294921875,"(105.81470235188802, 102.75830078125, 106.91544087727864)",719691,31.262366,0.960861,4.395185470581055,2293.181640625,"(105.92703755696614, 102.87360127766927, 106.79025438096788)",1732859,31.860299,0.979015,2.666639804840088,1333.841796875,"(105.57106357150607, 102.79446919759114, 106.88203599717882)",948173,31.376763,0.960959,6.279102087020874,1899.3671875,"(105.9304945203993, 102.87474229600694, 106.7960205078125)",1411639,31.748905,0.977492,3.5753207206726074,1178.0078125,"(105.8429243299696, 102.77559916178384, 106.74862162272134)",821067,31.553367,0.969182,10.84882378578186,1591.841796875,"(106.00598483615451, 102.8929935031467, 106.85454644097221)",1160804,31.303111,0.968286,1.6808953285217283,912.611328125,"(105.77169630262586, 102.78202141655815, 106.79442850748697)",604975,31.04237,0.958377,3.988356828689575,1834.798828125,"(105.91769239637586, 102.86082119411891, 106.78644476996527)",1358973,31.812349,0.979203,12.488137483596802,1213.5830078125,"(105.92946709526909, 102.80802069769965, 106.73442925347221)",850087,31.616329,0.970723,123.43160557746889,2194.166015625,"(105.91846720377603, 102.8614281548394, 106.78262668185764)",1654002,31.587857,0.973154,4.683435678482056,1217.2783203125,"(105.836183336046, 102.8663092719184, 106.73993937174478)",855278,31.261914,0.961872,6.0987043380737305,2264.8720703125,1.1641850906659545,8.555956851836822,1.0268240709133758,0.9876548940515745,1.192435083230846,1.4227997246703468,1.2343980362288525,1.032224569236781,2.212360906415595,10.647358852641148,2.14938661877131,1.698006521926941,1.922629074510064,2.48174880205112,1.866268772496216,1.860603308642728
video1.mp4,24.2,"(2732, 848)",8,30.0,1790.65625,"(16.764064183402855, 16.852209315174452, 17.107251754192106)",542354,27.046755,0.889438,8.67858624458313,1381.68359375,"(16.763392548827316, 16.852703113345672, 17.10504606480842)",402870,27.038585,0.8889,20.274991512298584,407.1162109375,"(22.245804010469904, 17.985613380203873, 22.027529679687284)",74008,25.411876,0.852048,8.670212507247925,328.384765625,"(15.425748121495069, 16.582678820547528, 17.086810495455676)",46315,26.294182,0.868406,17.132747888565063,2017.6708984375,"(16.762051869526783, 16.8532935992707, 17.10697723003398)",619196,27.042284,0.889291,7.656764268875122,1380.693359375,"(16.76002358490566, 16.85424752755601, 17.105080164507307)",402532,27.03844,0.888782,16.25907063484192,2178.310546875,"(16.760639106052654, 16.853274607033345, 17.10622703665847)",673579,27.051401,0.889671,8.865103006362915,2706.8583984375,"(16.76486876363988, 16.852315930688693, 17.10246571037874)",851455,27.052541,0.889513,31.86015748977661,1729.814453125,"(16.764611505152075, 16.853684235061742, 17.107926841901712)",521758,27.046129,0.889435,9.104229211807253,1551.662109375,"(16.759023039310478, 16.85364236581121, 17.102182553385454)",460415,27.04771,0.88929,33.8492476940155,1620.2509765625,"(16.76621721249206, 16.853044973618054, 17.109303347468163)",484670,27.032417,0.888717,7.291441440582275,1302.400390625,"(16.762213303544296, 16.852246868007402, 17.102573620818255)",376399,27.031192,0.888529,14.349825143814089,1664.490234375,"(16.760932190806376, 16.852829152739027, 17.106460554849583)",499724,27.046995,0.889467,41.690152168273926,1536.966796875,"(16.760503138898866, 16.852928861985138, 17.10548461283461)",455441,27.050104,0.889398,228.8051283359528,3379.4013671875,"(16.763065364374707, 16.85214931697008, 17.106125600845328)",1082071,27.050044,0.889536,16.165724277496338,3264.8681640625,"(16.762123090416864, 16.853010442277412, 17.10220715696566)",1042507,27.051544,0.889549,22.279079914093018,2008.2109375,1.121494389277674,4.932770750826963,0.9953114450206791,0.9219121398374421,1.160940084569222,1.2394443617374575,1.2065020845580772,0.5942504956643636,1.4534521120349664,6.115420530175516,1.4544945290452176,0.7418973000801278,1.294232117525184,1.541930539913531,1.306606584854758,0.6150970993576561
video11.mp4,181.034,"(1280, 630)",8,30.0,40273.5849609375,"(125.36892733134921, 129.16049851190476, 108.33121031746032)",1682641,33.290361,0.98653,48.24056959152222,20537.607421875,"(125.33123511904762, 129.18482142857144, 108.23396825396826)",788040,32.856936,0.970317,126.55098342895508,4749.2197265625,"(126.70495907738095, 129.91784350198412, 109.83882316468254)",75116,27.173127,0.829475,33.98355031013489,3930.591796875,"(126.31146205357143, 129.19033482142856, 108.72531498015873)",36551,27.719717,0.827297,99.2536964416504,50584.8408203125,"(125.35303695436508, 129.21946180555557, 108.31331349206349)",2149239,33.2696,0.981134,46.89581418037415,21224.875,"(125.37029017857142, 129.19038938492062, 108.26310515873016)",819140,32.79781,0.966048,114.26691031455994,46683.4833984375,"(125.33444816468254, 129.1951066468254, 108.2865302579365)",1972697,33.335058,0.986436,50.95107674598694,30549.7705078125,"(125.38322420634921, 129.1666517857143, 108.26047123015873)",1241104,32.959316,0.972108,160.86953616142273,38872.044921875,"(125.37467261904762, 129.16014384920635, 108.34070436507936)",1619219,33.283622,0.986219,69.93801617622375,22090.876953125,"(125.3392435515873, 129.1584623015873, 108.24767485119048)",858328,32.977104,0.973653,388.013135433197,37714.666015625,"(125.44712301587302, 129.15572668650793, 108.37794022817461)",1566835,33.158873,0.981742,30.13579368591309,18436.21875,"(125.31252976190476, 129.14839161706348, 108.20448288690476)",693258,32.743109,0.966485,88.66847896575928,36987.69140625,"(125.37959201388888, 129.1669208829365, 108.34993303571429)",1533928,33.270579,0.985624,300.14052987098694,22390.8134765625,"(125.34413070436509, 129.1582775297619, 108.2519035218254)",871905,33.006191,0.974801,2408.977033138275,55055.4072265625,"(125.36598214285715, 129.17523685515874, 108.30269097222222)",2352209,33.292636,0.986331,97.44848704338074,31692.0263671875,"(125.30738467261905, 129.18341393849207, 108.26441344246032)",1294879,33.060996,0.976273,161.7133026123047,43019.576171875,1.0681834312391338,9.058240858233086,0.8504440356882641,0.9215159846729618,1.1066970173124595,1.1406590781965882,1.1630781629319467,0.7813869397939792,2.094673215247752,10.94480892319511,2.0268470920028974,1.4081800110699225,1.9473910548304152,2.333427301727747,1.921304744774261,1.3574258607968197
video5.mp4,9.814,"(1280, 720)",8,29.97002997002997,1928.6181640625,"(107.99778645833334, 110.94848307291667, 120.136474609375)",1469712,31.381539,0.95571,3.0072500705718994,1006.916015625,"(108.007421875, 110.91681532118055, 120.14521592881944)",697811,31.061561,0.948021,5.9140565395355225,277.7353515625,"(109.57825303819445, 109.754111328125, 120.79691189236111)",91087,24.398518,0.804146,2.342568635940552,239.6181640625,"(109.07982530381945, 110.81380859375, 120.49680989583334)",57053,25.015809,0.811771,4.048023462295532,2210.2841796875,"(107.94782769097222, 110.98503146701388, 120.12580729166666)",1704926,31.300014,0.953735,2.9464335441589355,1028.1044921875,"(107.98666341145834, 110.92527777777778, 120.13926866319444)",715499,31.037315,0.945576,5.054459810256958,2200.3681640625,"(107.96822699652778, 110.96881076388888, 120.11448133680555)",1696646,31.453874,0.956361,3.0620672702789307,1403.0576171875,"(108.05249674479167, 110.885478515625, 120.19079535590278)",1028621,31.154957,0.947132,7.986611843109131,1877.3701171875,"(107.98721896701389, 110.94565972222222, 120.1423513454861)",1426915,31.37916,0.955634,3.690686225891113,1134.216796875,"(107.90706597222223, 110.91220594618055, 120.142724609375)",804118,31.219566,0.950092,14.346765756607056,1572.7841796875,"(108.0822634548611, 110.94127821180555, 120.22817925347222)",1172562,31.02649,0.950322,1.863301515579224,935.318359375,"(107.97715277777777, 110.92780164930555, 120.06626736111112)",638373,30.941349,0.946129,4.347891092300415,1789.8603515625,"(108.00337131076388, 110.96060763888889, 120.13734809027778)",1353837,31.382018,0.955524,15.411982774734495,1171.693359375,"(107.96309461805555, 110.94924370659722, 120.13545464409722)",835417,31.265585,0.951015,115.34152698516846,2510.423828125,"(107.993798828125, 110.95273871527777, 120.1404296875)",1957467,31.244198,0.952757,5.533205032348633,1321.7529296875,"(107.96555013020833, 110.89156792534722, 120.13702690972222)",962868,31.065506,0.946947,6.963683843612671,2194.3974609375,1.1378081477336885,7.901037619417653,0.9928123637240863,0.9972864981313052,1.1688677905584972,1.3952311380532259,1.226016017965787,0.8741143373294319,2.1793252137075423,9.15789280634473,2.1344109257498487,1.5640109387213055,1.934724884152232,2.346150312289223,1.872842790632548,1.6602175880603631
